   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
            0.016931,             0.99403,            0.047096,            0.037712,            0.019496,            0.010308,            0.086037,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.010149,            0.071008,            0.055859,              30.155,             0.11649,             0.57918,              9.3841,          0.00058567,             0.77666,             0.55425,             0.36072,             0.70282,             0.95365,                   3
            0.013017,             0.99323,            0.047771,            0.034913,            0.022422,            0.011922,            0.086253,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.015242,             0.71802,             0.23929,              9.9717,             0.84703,             0.50252,              1.2119,           5.168e-05,             0.86777,             0.11167,             0.23069,             0.67874,             0.27325,                   3
            0.019165,             0.99339,            0.046545,            0.037551,            0.018228,            0.010302,            0.086046,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.031702,              0.8845,               0.511,              33.657,              0.5462,             0.39461,             0.61313,          9.9716e-05,             0.69342,             0.39043,             0.30159,              0.6201,             0.50422,                   3
            0.013489,             0.99508,             0.04708,            0.034583,            0.021284,            0.012443,            0.085919,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0048351,             0.23738,             0.89748,              31.032,             0.89625,            0.047426,              5.4629,          0.00085393,             0.73564,             0.39955,             0.57859,             0.99295,             0.82013,                   3
            0.022687,             0.99544,            0.051358,            0.042309,            0.018408,            0.010219,            0.086107,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.026703,             0.17229,             0.34686,              39.241,             0.67874,            0.054738,              8.6097,          1.3266e-05,             0.42374,             0.35838,             0.64287,            0.043367,            0.077556,                   3
            0.008426,             0.99536,             0.04327,            0.031429,            0.022573,            0.013401,            0.086046,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.080656,             0.41187,              0.4107,              44.833,             0.89983,             0.43604,              7.6991,          0.00082706,              0.8499,             0.92442,             0.68844,              0.4459,             0.53606,                   3
            0.017306,             0.99385,            0.043279,            0.031907,            0.020054,            0.011422,            0.086098,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.057221,             0.87994,             0.72194,              44.365,              0.3991,             0.88277,              6.5352,          0.00015834,             0.75917,             0.47817,             0.19909,             0.15201,            0.051055,                   3
            0.022512,             0.99303,            0.050057,            0.039435,             0.01834,            0.010243,            0.085971,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,           0.0069535,             0.63688,             0.59339,              23.762,              0.4126,             0.14836,              6.9987,          0.00037609,             0.46482,             0.82283,            0.089078,            0.063529,             0.11511,                   3
            0.016105,             0.99426,            0.045364,             0.03495,            0.021277,            0.011134,            0.085966,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.058395,             0.33702,             0.34024,              33.757,             0.50276,             0.43156,              2.1071,          0.00071278,            0.082683,             0.48281,              0.4218,             0.72347,             0.80198,                   3
            0.018384,             0.99656,            0.045329,            0.036703,            0.017709,           0.0096626,            0.086051,               0.001,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,            0.040265,            0.071989,             0.66638,              20.133,             0.41666,              0.5575,              7.9876,          0.00085737,             0.02033,             0.98415,             0.32544,             0.12338,          2.8855e-05,                   3
